execution_count,total_worker_time,min_worker_time,max_worker_time,total_physical_reads,min_physical_reads,max_physical_reads,total_logical_reads,min_logical_reads,max_logical_reads,total_logical_writes,min_logical_writes,max_logical_writes,total_clr_time,min_clr_time,max_clr_time,total_elapsed_time,min_elapsed_time,max_elapsed_time,db_name,timestamp,hash
6117,354452,20,9394,0,0,32,19439,3,19,144,0,5,0,0,0,391868,20,22739,StackOverflow2010,10/23/2020 14:07:02,8041c5cad44dab055bd9bc1e954d3a74e4fb91dcb975df7f14c429ffdd7e7d2a
55,1504522,23611,92218,0,0,49,33055,601,683,2,0,2,0,0,0,2093806,23805,294711,StackOverflow2010,10/23/2020 14:07:02,1d7cf63d199727bb4ec1db1ae42ef552ddd7f7597724dbbf1cdf8132bb6c9f29
2,1038,298,652,0,0,0,344,172,172,0,0,0,0,0,0,1038,298,653,,10/23/2020 14:07:02,0a990a1a95ea84db70656fbff4fca7ec2df31dd3307adf4ef20941e398868c5a
1,76,37,139,0,0,0,0,0,0,0,0,0,0,0,0,77,37,139,msdb,10/23/2020 14:07:02,fb5e9076c53717b8636b6dcde4af71b54c2730bbbcd7c257851ac90f10e75f83
1,1560,126,2065,0,0,0,17,8,25,0,0,1,0,0,0,1561,924,2065,msdb,10/23/2020 14:07:02,70417d258d9fe0a9cdf5575e6da5f17265bdc80c0dd978f625a1f3e49d4ab542
51,50420,623,3617,0,0,32,20099,393,441,1,0,3,0,0,0,50437,623,7078,StackOverflow2010,10/23/2020 14:07:02,bbba4f7ad05635c0393dae6ac9d92f71032803b6bdf01811d2abf0e972d19e9f
90,111894,769,11849,0,0,4294,80330,890,2106,2,0,2,0,0,0,111928,770,98722,StackOverflow2010,10/23/2020 14:07:02,6a4af36b02c067611b0aef9944806ad5ac66eb40377854b93132a8a691d4dcba
2,131,43,87,0,0,0,4,2,2,0,0,0,0,0,0,131,43,88,,10/23/2020 14:07:02,14304738d42697f115503a20eb8925d34a7de3ff8fb9491d84ea9990b31783ab
2,14034,4318,243289,0,0,0,34,17,171,0,0,0,0,0,0,186861,4380,649460,msdb,10/23/2020 14:07:02,7c68a9bf34520456cf8b14a22d4ee513288b34b97290d06ab63a30fddbd14a9d
2,12796,3362,41344,0,0,0,26,13,13,0,0,0,0,0,0,61114,3407,386448,msdb,10/23/2020 14:07:02,347ff9829193d2cfcdccbf1b01c180f7bc91356f1bf063576ab3e4748a346138
2,110,41,305,0,0,0,6,3,3,0,0,0,0,0,0,111,41,306,master,10/23/2020 14:07:02,240a6054e7b283dbb60a4aba8a7ef36eca4e6ffc7b853b242d0be37a58421bf8
1,84,50,153,0,0,0,0,0,0,0,0,0,0,0,0,85,50,154,msdb,10/23/2020 14:07:02,07cd99c934008cc2f7aba63c815ada87d53428b400b0b15ec1525bcd20811f93
1,1074,457,1781,0,0,0,6,0,6,0,0,0,0,0,0,1075,644,1782,msdb,10/23/2020 14:07:02,71f072da84be4d1c7ae55257c696834aded2c55c90e6797ee3a048fa45e0c84b
2,938,168,1075,0,0,0,12,0,6,0,0,0,0,0,0,940,241,1076,msdb,10/23/2020 14:07:02,f872e93bb28ab4c30cd028e840c84a06e3a8430870839104f561e2c9ed7871fc
4,3902,649,11372,0,0,8,579,144,156,0,0,0,0,0,0,3904,649,11373,msdb,10/23/2020 14:07:02,7447b4a697ce6d65385f4e9fbd91d6b04f7d1dd9714c49169e9e2bc074ead2ed
2,66,18,101,0,0,0,6,3,4,0,0,0,0,0,0,66,18,101,msdb,10/23/2020 14:07:02,496307453d6e1ef57322960c4f9d3450ed3103ef5936c8f59c970bf249808d96
2,400,113,529,0,0,0,10,5,85,0,0,0,0,0,0,401,113,530,msdb,10/23/2020 14:07:02,aa3c4a8aaf846b663eef9a30be540c1c69f6c68040e71b9c34b440b39a01f28d
2,1582,482,1313,0,0,0,344,172,172,0,0,0,0,0,0,1583,482,1314,,10/23/2020 14:07:02,953be3ea070f74f64de3d7b8c823fb762ff2fb21e4ba236c106c8635298c5438
1,1180,859,180185,0,0,0,6,0,94,0,0,0,0,0,0,1182,861,190587,msdb,10/23/2020 14:07:02,ed4260ca6c4d3f06ce4cc514996ce13c1d2d5ef2fcd4147a8f22df8801a07277
2,1684,526,1441,0,0,0,344,172,172,0,0,0,0,0,0,1685,526,1441,,10/23/2020 14:07:02,b83e8bdcce1975988510f57c816f61ea3f66b1c98d22c4534412e5c297e1a85a
1,2863,1925,83806,0,0,0,20,5,90,0,0,1,0,0,0,2864,1926,88271,msdb,10/23/2020 14:07:02,a22e32e9776753c21d82f4beabf5f34cb638b6a324e3f2fb4663984771973fa2
1,632,406,748,0,0,0,38,38,38,0,0,0,0,0,0,633,406,750,msdb,10/23/2020 14:07:02,c2068250b7cc9d292f7e8ccbea5c8cfa15cc9d55d935d540f6a5959ba896e626
4700,160854,10,3639,0,0,48,14272,3,20,26,0,4,0,0,0,161836,10,65613,StackOverflow2010,10/23/2020 14:07:02,7bd85c3a6dea7b00a99fe584b38041eb067ce328c3855a48a18300949fee1f79
5,1465,133,1587,0,0,0,30,6,6,0,0,0,0,0,0,1466,133,1588,msdb,10/23/2020 14:07:02,8217106256f8f3a4ec0963b563c800345d2766f4c745864f4372761afe5334c6
46,93304707,1957957,2437524,0,0,10,1152620,23173,25259,2,0,2,0,0,0,67341823,1019192,3052097,StackOverflow2010,10/23/2020 14:07:02,4d3c4d181a011cf483f94cef62e02a3cac4f63dc449056fe2b3d755e1c52f114
2,2648,767,3537,0,0,0,12,6,23,0,0,1,0,0,0,2649,768,62564,msdb,10/23/2020 14:07:02,2d4265199be88c42d080f1f9cdb4078d427f8d625306a77a95effdb292e61da2
4000,243033,20,9394,0,0,32,12713,3,19,97,0,5,0,0,0,258593,20,22739,StackOverflow2010,10/23/2020 14:08:02,8041c5cad44dab055bd9bc1e954d3a74e4fb91dcb975df7f14c429ffdd7e7d2a
46,1305160,23611,92218,0,0,49,27647,601,683,2,0,2,0,0,0,2071350,23805,294711,StackOverflow2010,10/23/2020 14:08:02,1d7cf63d199727bb4ec1db1ae42ef552ddd7f7597724dbbf1cdf8132bb6c9f29
2,816,298,652,0,0,0,344,172,172,0,0,0,0,0,0,817,298,653,,10/23/2020 14:08:02,0a990a1a95ea84db70656fbff4fca7ec2df31dd3307adf4ef20941e398868c5a
