execution_count,total_worker_time,min_worker_time,max_worker_time,total_physical_reads,min_physical_reads,max_physical_reads,total_logical_reads,min_logical_reads,max_logical_reads,total_logical_writes,min_logical_writes,max_logical_writes,total_clr_time,min_clr_time,max_clr_time,total_elapsed_time,min_elapsed_time,max_elapsed_time,db_name,timestamp,hash
2,1787,692,26189,0,0,0,12,6,17,0,0,2,0,0,0,1788,693,26190,msdb,10/25/2020 05:59:03,2d4265199be88c42d080f1f9cdb4078d427f8d625306a77a95effdb292e61da2
1,454,428,1262,0,0,0,38,38,38,0,0,0,0,0,0,454,429,1262,msdb,10/25/2020 05:59:03,238f76836af528d39e661be095db7482a1d989f0c4fede8d45d3fb3800fbe742
2,862,276,620,0,0,0,344,172,172,0,0,0,0,0,0,864,276,620,,10/25/2020 05:59:03,0a990a1a95ea84db70656fbff4fca7ec2df31dd3307adf4ef20941e398868c5a
1,39,36,146,0,0,0,0,0,0,0,0,0,0,0,0,39,36,147,msdb,10/25/2020 05:59:03,fb5e9076c53717b8636b6dcde4af71b54c2730bbbcd7c257851ac90f10e75f83
1,953,150,1873,0,0,0,17,8,21,0,0,0,0,0,0,953,851,1874,msdb,10/25/2020 05:59:03,70417d258d9fe0a9cdf5575e6da5f17265bdc80c0dd978f625a1f3e49d4ab542
1,702,663,2410,0,0,0,6,0,8,0,0,0,0,0,0,702,664,2411,msdb,10/25/2020 05:59:03,1fa75d19a447b481bf30704142684c7c3b0cfb22e4af2da1457da8f764c9e135
2,107,46,181,0,0,0,4,2,2,0,0,0,0,0,0,108,47,182,,10/25/2020 05:59:03,14304738d42697f115503a20eb8925d34a7de3ff8fb9491d84ea9990b31783ab
1,686,637,1329,0,0,0,6,0,8,0,0,0,0,0,0,687,638,1330,msdb,10/25/2020 05:59:03,825f5c64764d52c561680484b3d5e165083d16f212fedbfe70773b7db4e38c7d
2,1004,456,954,0,0,0,344,172,172,0,0,0,0,0,0,1004,456,955,,10/25/2020 05:59:03,b83e8bdcce1975988510f57c816f61ea3f66b1c98d22c4534412e5c297e1a85a
2,8462,4035,18159,0,0,0,34,17,17,0,0,0,0,0,0,8584,4100,374180,msdb,10/25/2020 05:59:03,7c68a9bf34520456cf8b14a22d4ee513288b34b97290d06ab63a30fddbd14a9d
2,6799,3073,11063,0,0,0,26,13,13,0,0,0,0,0,0,6890,3116,165276,msdb,10/25/2020 05:59:03,347ff9829193d2cfcdccbf1b01c180f7bc91356f1bf063576ab3e4748a346138
2,109,40,276,0,0,0,6,3,3,0,0,0,0,0,0,111,40,276,master,10/25/2020 05:59:03,240a6054e7b283dbb60a4aba8a7ef36eca4e6ffc7b853b242d0be37a58421bf8
1,52,48,169,0,0,0,0,0,0,0,0,0,0,0,0,51,48,169,msdb,10/25/2020 05:59:03,07cd99c934008cc2f7aba63c815ada87d53428b400b0b15ec1525bcd20811f93
2,482,152,721,0,0,0,12,0,8,0,0,0,0,0,0,483,208,721,msdb,10/25/2020 05:59:03,f872e93bb28ab4c30cd028e840c84a06e3a8430870839104f561e2c9ed7871fc
2,44,17,415,0,0,0,6,3,3,0,0,0,0,0,0,45,17,415,msdb,10/25/2020 05:59:03,496307453d6e1ef57322960c4f9d3450ed3103ef5936c8f59c970bf249808d96
1,870,633,4387,0,0,0,6,0,8,0,0,0,0,0,0,871,836,4389,msdb,10/25/2020 05:59:03,3978dc5bc3b31854e59b98778dc3d0bee9f16bda130b84f1362a1ebfb5bd7877
2,289,114,451,0,0,0,10,5,5,0,0,0,0,0,0,289,114,451,msdb,10/25/2020 05:59:03,aa3c4a8aaf846b663eef9a30be540c1c69f6c68040e71b9c34b440b39a01f28d
2,916,422,1210,0,0,0,344,172,172,0,0,0,0,0,0,916,422,1210,,10/25/2020 05:59:03,953be3ea070f74f64de3d7b8c823fb762ff2fb21e4ba236c106c8635298c5438
4,3223,619,3773,0,0,0,582,144,156,0,0,0,0,0,0,3226,620,3774,msdb,10/25/2020 05:59:03,9cf26db2c4a3182fdb30dd21440dae8cabecbf09b1492edfd82368852553e20d
6,976,108,17422,0,0,0,36,6,6,0,0,0,0,0,0,977,108,17423,msdb,10/25/2020 05:59:03,8217106256f8f3a4ec0963b563c800345d2766f4c745864f4372761afe5334c6
1,1865,716,3363,0,0,0,20,5,26,0,0,0,0,0,0,1866,1744,3363,msdb,10/25/2020 05:59:03,b1a99015d38dd3258282f3a25dae30a3ce6ebf6a310c2d75c134ac979930b2a9
2,898,422,1210,0,0,0,344,172,172,0,0,0,0,0,0,898,422,1210,,10/25/2020 06:00:03,953be3ea070f74f64de3d7b8c823fb762ff2fb21e4ba236c106c8635298c5438
2,1771,692,26189,0,0,0,12,6,17,0,0,2,0,0,0,1771,693,26190,msdb,10/25/2020 06:00:03,2d4265199be88c42d080f1f9cdb4078d427f8d625306a77a95effdb292e61da2
1,451,428,1262,0,0,0,38,38,38,0,0,0,0,0,0,452,429,1262,msdb,10/25/2020 06:00:03,238f76836af528d39e661be095db7482a1d989f0c4fede8d45d3fb3800fbe742
2,567,275,620,0,0,0,344,172,172,0,0,0,0,0,0,567,275,620,,10/25/2020 06:00:03,0a990a1a95ea84db70656fbff4fca7ec2df31dd3307adf4ef20941e398868c5a
1,39,36,146,0,0,0,0,0,0,0,0,0,0,0,0,39,36,147,msdb,10/25/2020 06:00:03,fb5e9076c53717b8636b6dcde4af71b54c2730bbbcd7c257851ac90f10e75f83
1,921,150,1873,0,0,0,17,8,21,0,0,0,0,0,0,921,851,1874,msdb,10/25/2020 06:00:03,70417d258d9fe0a9cdf5575e6da5f17265bdc80c0dd978f625a1f3e49d4ab542
2,101,46,181,0,0,0,4,2,2,0,0,0,0,0,0,101,47,182,,10/25/2020 06:00:03,14304738d42697f115503a20eb8925d34a7de3ff8fb9491d84ea9990b31783ab
2,8844,4035,18159,0,0,0,34,17,17,0,0,0,0,0,0,8987,4100,374180,msdb,10/25/2020 06:00:03,7c68a9bf34520456cf8b14a22d4ee513288b34b97290d06ab63a30fddbd14a9d
1,1907,716,3363,0,0,0,20,5,26,0,0,0,0,0,0,1908,1744,3363,msdb,10/25/2020 06:00:03,b1a99015d38dd3258282f3a25dae30a3ce6ebf6a310c2d75c134ac979930b2a9
1,694,663,2410,0,0,0,6,0,8,0,0,0,0,0,0,695,664,2411,msdb,10/25/2020 06:00:03,1fa75d19a447b481bf30704142684c7c3b0cfb22e4af2da1457da8f764c9e135
2,6683,3073,11063,0,0,0,26,13,13,0,0,0,0,0,0,6770,3116,165276,msdb,10/25/2020 06:00:03,347ff9829193d2cfcdccbf1b01c180f7bc91356f1bf063576ab3e4748a346138
2,139,40,276,0,0,0,6,3,3,0,0,0,0,0,0,139,40,276,master,10/25/2020 06:00:03,240a6054e7b283dbb60a4aba8a7ef36eca4e6ffc7b853b242d0be37a58421bf8
1,50,48,169,0,0,0,0,0,0,0,0,0,0,0,0,51,48,169,msdb,10/25/2020 06:00:03,07cd99c934008cc2f7aba63c815ada87d53428b400b0b15ec1525bcd20811f93
2,480,152,721,0,0,0,12,0,8,0,0,0,0,0,0,481,208,721,msdb,10/25/2020 06:00:03,f872e93bb28ab4c30cd028e840c84a06e3a8430870839104f561e2c9ed7871fc
2,45,17,415,0,0,0,6,3,3,0,0,0,0,0,0,46,17,415,msdb,10/25/2020 06:00:03,496307453d6e1ef57322960c4f9d3450ed3103ef5936c8f59c970bf249808d96
1,856,633,4387,0,0,0,6,0,8,0,0,0,0,0,0,856,836,4389,msdb,10/25/2020 06:00:03,3978dc5bc3b31854e59b98778dc3d0bee9f16bda130b84f1362a1ebfb5bd7877
1,685,637,1329,0,0,0,6,0,8,0,0,0,0,0,0,686,638,1330,msdb,10/25/2020 06:00:03,825f5c64764d52c561680484b3d5e165083d16f212fedbfe70773b7db4e38c7d
2,316,114,451,0,0,0,10,5,5,0,0,0,0,0,0,317,114,451,msdb,10/25/2020 06:00:03,aa3c4a8aaf846b663eef9a30be540c1c69f6c68040e71b9c34b440b39a01f28d
4,2707,619,3773,0,0,0,579,144,156,0,0,0,0,0,0,2708,620,3774,msdb,10/25/2020 06:00:03,9cf26db2c4a3182fdb30dd21440dae8cabecbf09b1492edfd82368852553e20d
6,967,108,17422,0,0,0,36,6,6,0,0,0,0,0,0,968,108,17423,msdb,10/25/2020 06:00:03,8217106256f8f3a4ec0963b563c800345d2766f4c745864f4372761afe5334c6
2,999,456,954,0,0,0,344,172,172,0,0,0,0,0,0,999,456,955,,10/25/2020 06:00:03,b83e8bdcce1975988510f57c816f61ea3f66b1c98d22c4534412e5c297e1a85a
2,1862,692,26189,0,0,0,12,6,17,0,0,2,0,0,0,1863,693,26190,msdb,10/25/2020 06:01:03,2d4265199be88c42d080f1f9cdb4078d427f8d625306a77a95effdb292e61da2
1,467,428,1262,0,0,0,38,38,38,0,0,0,0,0,0,467,429,1262,msdb,10/25/2020 06:01:03,238f76836af528d39e661be095db7482a1d989f0c4fede8d45d3fb3800fbe742
1,55,36,146,0,0,0,0,0,0,0,0,0,0,0,0,55,36,147,msdb,10/25/2020 06:01:03,fb5e9076c53717b8636b6dcde4af71b54c2730bbbcd7c257851ac90f10e75f83
1,1064,150,1873,0,0,0,17,8,21,0,0,0,0,0,0,1066,851,1874,msdb,10/25/2020 06:01:03,70417d258d9fe0a9cdf5575e6da5f17265bdc80c0dd978f625a1f3e49d4ab542
2,107,46,181,0,0,0,4,2,2,0,0,0,0,0,0,107,47,182,,10/25/2020 06:01:03,14304738d42697f115503a20eb8925d34a7de3ff8fb9491d84ea9990b31783ab
1,637,636,1329,0,0,0,6,0,8,0,0,0,0,0,0,637,636,1330,msdb,10/25/2020 06:01:03,825f5c64764d52c561680484b3d5e165083d16f212fedbfe70773b7db4e38c7d
2,1031,456,954,0,0,0,344,172,172,0,0,0,0,0,0,1032,456,955,,10/25/2020 06:01:03,b83e8bdcce1975988510f57c816f61ea3f66b1c98d22c4534412e5c297e1a85a
2,10614,4035,18159,0,0,0,34,17,17,0,0,0,0,0,0,28837,4100,374180,msdb,10/25/2020 06:01:03,7c68a9bf34520456cf8b14a22d4ee513288b34b97290d06ab63a30fddbd14a9d
